card_translate,base_card,abv_langue,type_card,name_card,attribut_card,family_card,sous_family_card,nature_card,Description pendule,description
ALIN-FR000,ALIN-000,FR,monstre XYZ,Seigneurs Maître des Dragons,Ténèbres,Dragon,,effet,,"Tant que cette carte Invoquée par Xyz est dans votre Zone Monstre, votre adversaire ne peut pas la cibler avec des effets de carte, et aussi, elle ne peut pas être détruite par des effets de carte de votre adversaire. Tant que vous avez min. 25 cartes dans votre Cimetière, si cette carte attaque un monstre en Position de Défense, infligez des dommages de combat perçants doubles à votre adversaire. Une fois par tour, si votre adversaire a min. 25 cartes dans son Cimetière : vous pouvez détacher 1 Matériel de cette carte ; Invoquez Spécialement 1 monstre depuis votre Deck, Extra Deck ou Cimetière."
ALIN-EN000,ALIN-000,EN,,Dragon Master Lords,dark,Dragon,,effect,,"While this Xyz Summoned card is in your Monster Zone, your opponent cannot target it with card effects, also it cannot be destroyed by your opponent's card effects. While you have 25 or more cards in your GY, if this card attacks a Defense Position monster, inflict double piercing battle damage to your opponent. Once per turn, if your opponent has 25 or more cards in their GY: You can detach 1 material from this card; Special Summon 1 monster from your Deck, Extra Deck, or GY."
ALIN-AL000,ALIN-000,AL,,Drachenmeisterherrscher,Finsternis,Drache,,effekt,,"Solange diese als Xyz-Beschwörung beschworene Karte in deiner Monsterzone liegt, kann dein Gegner sie nicht als Ziel für Karteneffekte wählen, zusätzlich kann sie nicht durch Karteneffekte deines Gegners zerstört werden. Solange du 25 oder mehr Karten in deinem Friedhof hast, falls diese Karte ein Monster in Verteidigungsposition angreift, füge deinem Gegner doppelten durchschlagenden Kampfschaden zu. Einmal pro Spielzug, falls dein Gegner 25 oder mehr Karten in seinem Friedhof hat: Du kannst 1 Material von dieser Karte abhängen; beschwöre 1 Monster als Spezialbeschwörung von deinem Deck, Extra Deck oder Friedhof."
ALIN-ES000,ALIN-000,ES,,Señores Amo del Dragón,Oscuridad,Dragón,,efecto,,"Mientras esta carta Invocada Xyz está en tu Zona de Monstruos, tu adversario no puede seleccionarla con efectos de cartas, y además no puede ser destruida por efectos de cartas de tu adversario. Mientras tengas 25 o más cartas en tu Cementerio, si esta carta ataca a un monstruo en Posición de Defensa, inflige doble daño de batalla de penetración a tu adversario. Una vez por turno, si tu adversario tiene 25 o más cartas en su Cementerio: puedes desacoplar 1 material de esta carta; Invoca de Modo Especial 1 monstruo desde tu Deck, Deck Extra o Cementerio."
ALIN-IT000,ALIN-000,IT,,Maestri Signori dei Draghi,Oscurità,Drago,,effetto,,"Mentre questa carta Evocata Xyz è nella tua Zona Mostri, il tuo avversario non può sceglierla come bersaglio con gli effetti delle carte, inoltre essa non può essere distrutta dagli effetti delle carte del tuo avversario. Mentre hai 25 o più carte nel tuo Cimitero, se questa carta attacca un mostro in Posizione di Difesa, infliggi danno da combattimento perforante doppio al tuo avversario. Una volta per turno, se il tuo avversario ha 25 o più carte nel suo Cimitero: puoi staccare 1 materiale da questa carta; Evoca Specialmente 1 mostro dal tuo Deck, Extra Deck o Cimitero."
ALIN-PT000,ALIN-000,PT,,Senhores Mestres dos Dragões,,,,,,"Enquanto este card Invocado por Invocação-Xyz estiver na sua Zona de Monstros, seu oponente não pode escolhê-lo como alvo de efeitos de card e, além disso, ele não pode ser destruído pelos efeitos de card do seu oponente. Enquanto você tiver 25 ou mais cards no seu Cemitério, se este card atacar um monstro em Posição de Defesa, cause o dobro de dano de batalha perfurante ao seu oponente. Uma vez por turno, se o seu oponente tiver 25 ou mais cards no Cemitério dele: você pode desassociar 1 matéria deste card; Invoque por Invocação-Especial 1 monstro do seu Deck, Deck Adicional ou Cemitério."
ALIN-FR001,ALIN-001,FR,monstre à effet,Sorcier @Ignister,Ténèbres,Cyberse,,effet,,"Si vous contrôlez un monstre Cyberse qui a été Invoqué Spécialement depuis l'Extra Deck : vous pouvez cibler 1 monstre TÉNÈBRES Cyberse dans votre Cimetière ; Invoquez Spécialement cette carte dans votre main ainsi que le monstre en Position de Défense, et aussi, vous ne pouvez pas Invoquer Spécialement (monstres Cyberse exclus) le reste de ce tour. Vous pouvez bannir cette carte depuis votre Terrain ou Cimetière, puis ciblez 1 monstre contrôlé par votre adversaire ; changez sa position de combat. Vous ne pouvez utiliser chaque effet de ""Sorcier @Ignister"" qu'une fois par tour."
ALIN-FR002,ALIN-002,FR,monstre à effet,Sauvegarde @Ignister,Ténèbres,Cyberse,,effet,,"Si vous contrôlez un monstre Cyberse qui a été Invoqué Spécialement depuis l'Extra Deck : vous pouvez Invoquer Spécialement cette carte depuis votre main. Si cette carte est Invoquée Normalement ou Spécialement : vous pouvez ajouter 1 monstre TÉNÈBRES Cyberse (""Sauvegarde @Ignister"" exclu) depuis votre Deck à votre main, puis défaussez 1 carte. Vous ne pouvez utiliser chaque effet de ""Sauvegarde @Ignister"" qu'une fois par tour."
ALIN-FR003,ALIN-003,FR,monstre à effet,Kurikurinku @Ignister,Ténèbres,Cyberse,,effet,,"Si cette carte est dans votre main ou Cimetière (Effet Rapide) : vous pouvez Sacrifier 1 monstre ""@Ignister"" ; Invoquez Spécialement cette carte, mais bannissez-la lorsqu'elle quitte le Terrain. Lorsqu'une carte ou un effet qui cible un ou plusieurs monstres Cyberse que vous contrôlez est activé, et que vous contrôlez un monstre Cyberse qui a été Invoqué Spécialement depuis l'Extra Deck (Effet Rapide) : vous pouvez Sacrifier cette carte ; annulez l'effet. Vous ne pouvez utiliser chaque effet de ""Kurikurinku @Ignister"" qu'une fois par tour."
ALIN-FR004,ALIN-004,FR,monstre à effet,Magicienne des Ténèbres l'Apprentie du Magicien,Ténèbres,Magicien,,effet,,"Vous pouvez Invoquer Spécialement cette carte (depuis votre main) en défaussant 1 carte, et si vous le faites, le nom de cette carte devient ""Magicienne des Ténèbres"". Vous ne pouvez Invoquer Spécialement ""Magicienne des Ténèbres l'Apprentie du Magicien"" qu'une fois par tour de cette façon. Si cette carte est Invoquée Normalement ou Spécialement : vous pouvez ajouter 1 ""Sarcophage Brillant"" depuis votre Deck à votre main. Vous ne pouvez utiliser cet effet de ""Magicienne des Ténèbres l'Apprentie du Magicien"" qu'une fois par tour. Gagne 300 ATK pour chaque monstre qui mentionne ""Sarcophage Brillant"" dans les Cimetières."
ALIN-FR005,ALIN-005,FR,monstre à effet,"Griffes Perfides, HÉROS du Mal",Ténèbres,Démon,,effet,,"Vous pouvez cibler 1 monstre ""HÉROS"" sur le Terrain ; Invoquez Spécialement cette carte depuis votre main en Position de Défense, et si vous le faites, le monstre gagne 300 ATK. Vous ne pouvez utiliser cet effet de ""Griffes Perfides, HÉROS du Mal"" qu'une fois par tour. Si un ou plusieurs monstres que vous contrôlez sont détruits au combat ou par un effet de carte, tant que cette carte est dans votre Cimetière : vous pouvez Invoquer Spécialement cette carte, puis si vous avez un monstre qui mentionne ""Fusion des Ténèbres"" dans votre Cimetière, vous pouvez détruire 1 carte sur le Terrain. Vous ne pouvez utiliser cet effet de ""Griffes Perfides, HÉROS du Mal"" qu'une fois par Duel."
